Volcano Name,Eruption Type,Start Date,Max. VEI
Korovin,Confirmed Eruption,1987 Mar 4,2
Makushin,Confirmed Eruption,1987 Mar 2,1
Masaya,Confirmed Eruption,1987 Feb 15,1
Akutan,Confirmed Eruption,1987 Jan 31,2
Marapi,Confirmed Eruption,1987 Jan 15,2
Fuego,Confirmed Eruption,1987 Jan 5,1
Rincon de la Vieja,Confirmed Eruption,1986 Dec 31,1
Sabancaya,Confirmed Eruption,1986 Dec 16,1
Bezymianny,Confirmed Eruption,1986 Dec 5,3
Bardarbunga,Uncertain Eruption,1986 Nov 29,0
Klyuchevskoy,Confirmed Eruption,1986 Nov 27,4
Okmok,Confirmed Eruption,1986 Nov 18,2
Chikurachki,Confirmed Eruption,1986 Nov 18,4
Izu-Oshima,Confirmed Eruption,1986 Nov 15,3
Ambrym,Confirmed Eruption,1986 Nov 13,2
Etna,Confirmed Eruption,1986 Oct 30,2
Myojinsho,Uncertain Eruption,1986 Oct 24,0
Chirinkotan,Confirmed Eruption,1986 Oct 11,1
Merapi,Confirmed Eruption,1986 Oct 10,2
Loihi,Uncertain Eruption,1986 Sep 20,0
Lascar,Confirmed Eruption,1986 Sep 14,3
Sarychev Peak,Confirmed Eruption,1986 Sep 1,1
Oku Volcanic Field,Uncertain Eruption,1986 Aug 21,--
Cleft Segment,Confirmed Eruption,1986 Aug 16,0
Dieng Volcanic Complex,Confirmed Eruption,1986 Aug 6,1
Talang,Uncertain Eruption,1986 Jul 16,1
Nyamuragira,Confirmed Eruption,1986 Jul 16,2
Kavachi,Confirmed Eruption,1986 Jul 5,1
Sorikmarapi,Confirmed Eruption,1986 Jul 5,1
Peuet Sague,Confirmed Eruption,1986 Jul 2,2
CoAxial Segment,Confirmed Eruption,1986 Jul 2,0
Nishinoshima,Uncertain Eruption,1986 Jul 2,0
Kaitoku Seamount,Uncertain Eruption,1986 Jun 18,0
Monowai,Confirmed Eruption,1986 Jun 16,0
Rumble III,Confirmed Eruption,1986 Jun 15,0
Klyuchevskoy,Confirmed Eruption,1986 Jun 8,2
Kanlaon,Confirmed Eruption,1986 Jun 3,2
Iliboleng,Confirmed Eruption,1986 May 28,1
Alaid,Confirmed Eruption,1986 May 25,2
Korovin,Uncertain Eruption,1986 May 23,1
Macdonald,Confirmed Eruption,1986 May 16,0
Cleveland,Confirmed Eruption,1986 Apr 28,2
Makushin,Discredited Eruption,1986 Apr 28,--
Pavlof,Confirmed Eruption,1986 Apr 16,3
Fukutoku-Oka-no-Ba,Uncertain Eruption,1986 Apr 7,0
Sheveluch,Confirmed Eruption,1986 Mar 28,3
Augustine,Confirmed Eruption,1986 Mar 27,4
Bezymianny,Confirmed Eruption,1986 Mar 26,2
Lokon-Empung,Confirmed Eruption,1986 Mar 22,2
Shishaldin,Confirmed Eruption,1986 Mar 19,2
Akutan,Confirmed Eruption,1986 Mar 18,2
Etna,Confirmed Eruption,1986 Mar 16,2
Tacana,Confirmed Eruption,1986 Feb 16,1
Ruapehu,Confirmed Eruption,1986 Feb 8,1
Whakaari/White Island,Confirmed Eruption,1986 Feb 1,3
Tupungatito,Confirmed Eruption,1986 Jan 20,1
Fukutoku-Oka-no-Ba,Confirmed Eruption,1986 Jan 18,2
Etna,Confirmed Eruption,1985 Dec 19,1
Cleveland,Uncertain Eruption,1985 Dec 10,1
Kavachi,Confirmed Eruption,1985 Dec 9,1
Nishinoshima,Uncertain Eruption,1985 Dec 2,0
Concepcion,Confirmed Eruption,1985 Dec 2,1
Guallatiri,Uncertain Eruption,1985 Dec 1,--
Ulawun,Confirmed Eruption,1985 Nov 17,3
San Miguel,Confirmed Eruption,1985 Nov 16,1
Ruapehu,Confirmed Eruption,1985 Nov 15,1
Tangkuban Parahu,Uncertain Eruption,1985 Nov 15,1
Kanlaon,Confirmed Eruption,1985 Oct 5,1
Suwanosejima,Confirmed Eruption,1985 Sep 16,2
Rincon de la Vieja,Confirmed Eruption,1985 Sep 16,1
"Ruiz, Nevado del",Confirmed Eruption,1985 Sep 11,3
San Cristobal,Uncertain Eruption,1985 Sep 2,--
Supply Reef,Uncertain Eruption,1985 Sep 2,0
Raung,Confirmed Eruption,1985 Aug 23,2
Klyuchevskoy,Confirmed Eruption,1985 Aug 16,3
Sangeang Api,Confirmed Eruption,1985 Jul 30,3
Colima,Confirmed Eruption,1985 Jul 2,1
"Misti, El",Confirmed Eruption,1985 Jul 2,1
Hudson Mountains,Uncertain Eruption,1985 Jul 2,--
Tokachidake,Confirmed Eruption,1985 Jun 19,1
"Fournaise, Piton de la",Confirmed Eruption,1985 Jun 14,1
Bezymianny,Confirmed Eruption,1985 Jun 12,3
Sheveluch,Confirmed Eruption,1985 May 26,2
Ruapehu,Confirmed Eruption,1985 May 21,1
Soputan,Confirmed Eruption,1985 May 19,2
Guagua Pichincha,Confirmed Eruption,1985 May 16,1
Karymsky,Discredited Eruption,1985 May 3,--
Niuafo'ou,Confirmed Eruption,1985 Mar 21,0
Kanlaon,Confirmed Eruption,1985 Mar 13,1
Etna,Confirmed Eruption,1985 Mar 8,1
Paluweh,Confirmed Eruption,1985 Feb 3,1
Heard,Confirmed Eruption,1985 Jan 14,2
Teahitia,Confirmed Eruption,1985 Jan 10,0
Jan Mayen,Confirmed Eruption,1985 Jan 6,0
Ulawun,Confirmed Eruption,1984 Dec 30,1
Kaitoku Seamount,Uncertain Eruption,1984 Dec 23,0
"Ruiz, Nevado del",Confirmed Eruption,1984 Dec 22,1
Concepcion,Confirmed Eruption,1984 Dec 16,2
Lascar,Confirmed Eruption,1984 Dec 16,0
Veniaminof,Confirmed Eruption,1984 Nov 29,2
Marapi,Confirmed Eruption,1984 Nov 15,1
Loihi,Uncertain Eruption,1984 Nov 11,0
Ruapehu,Confirmed Eruption,1984 Oct 25,1
Suwanosejima,Confirmed Eruption,1984 Oct 16,2
Mayon,Confirmed Eruption,1984 Sep 9,3
Krafla,Confirmed Eruption,1984 Sep 4,0
Ulawun,Confirmed Eruption,1984 Aug 23,1
Grimsvotn,Uncertain Eruption,1984 Aug 20,0
Villarrica,Confirmed Eruption,1984 Aug 11,2
Gorely,Confirmed Eruption,1984 Aug 4,2
Etna,Confirmed Eruption,1984 Jul 20,3
Cleveland,Confirmed Eruption,1984 Jul 12,1
Ambrym,Confirmed Eruption,1984 Jul 2,2
Lokon-Empung,Uncertain Eruption,1984 Jun 5,1
Tinakula,Confirmed Eruption,1984 Jun 3,2
Soputan,Confirmed Eruption,1984 May 24,3
Tengger Caldera,Confirmed Eruption,1984 May 12,1
Paluweh,Confirmed Eruption,1984 May 9,2
Akan,Confirmed Eruption,1984 May 1,1
Etna,Confirmed Eruption,1984 Apr 28,1
Llaima,Confirmed Eruption,1984 Apr 20,2
Asosan,Confirmed Eruption,1984 Apr 13,1
Ruapehu,Confirmed Eruption,1984 Apr 2,1
Rincon de la Vieja,Confirmed Eruption,1984 Mar 31,2
Fernandina,Confirmed Eruption,1984 Mar 30,1
Mauna Loa,Confirmed Eruption,1984 Mar 25,0
Sheveluch,Confirmed Eruption,1984 Mar 17,2
Klyuchevskoy,Confirmed Eruption,1984 Mar 10,3
Kaitoku Seamount,Confirmed Eruption,1984 Mar 8,0
Home Reef,Confirmed Eruption,1984 Mar 1,3
Nyamuragira,Confirmed Eruption,1984 Feb 23,2
Bezymianny,Confirmed Eruption,1984 Feb 5,3
Galunggung,Confirmed Eruption,1984 Jan 9,1
Whakaari/White Island,Confirmed Eruption,1983 Dec 26,2
Tengger Caldera,Confirmed Eruption,1983 Dec 21,1
Teahitia,Confirmed Eruption,1983 Dec 18,0
"Fournaise, Piton de la",Confirmed Eruption,1983 Dec 4,2
Pavlof,Confirmed Eruption,1983 Nov 11,3
Ulawun,Confirmed Eruption,1983 Nov 6,1
Macdonald,Confirmed Eruption,1983 Oct 27,0
Villarrica,Confirmed Eruption,1983 Oct 14,1
Miyakejima,Confirmed Eruption,1983 Oct 3,3
Tangkuban Parahu,Confirmed Eruption,1983 Sep 14,1
Iliwerung,Confirmed Eruption,1983 Aug 17,1
Gamalama,Confirmed Eruption,1983 Aug 9,3
Kusatsu-Shiranesan,Confirmed Eruption,1983 Jul 26,1
Colo,Confirmed Eruption,1983 Jul 18,4
Asosan,Confirmed Eruption,1983 Jul 16,1
Kita-Ioto,Uncertain Eruption,1983 Jul 16,0
Teahitia,Confirmed Eruption,1983 Jul 12,0
Pavlof,Confirmed Eruption,1983 Jul 11,2
Okmok,Confirmed Eruption,1983 Jul 8,2
Nishinoshima,Uncertain Eruption,1983 Jul 2,0
Marapi,Confirmed Eruption,1983 Jul 2,1
Ambrym,Confirmed Eruption,1983 Jul 2,2
Bulusan,Confirmed Eruption,1983 Jun 25,2
Veniaminof,Confirmed Eruption,1983 Jun 2,3
Grimsvotn,Confirmed Eruption,1983 May 28,2
Karangetang,Confirmed Eruption,1983 May 16,3
Myojinsho,Uncertain Eruption,1983 May 12,0
Iliboleng,Confirmed Eruption,1983 May 11,2
Tengger Caldera,Uncertain Eruption,1983 Apr 15,1
Niigata-Yakeyama,Confirmed Eruption,1983 Apr 14,1
Asamayama,Confirmed Eruption,1983 Apr 8,2
Etna,Confirmed Eruption,1983 Mar 28,1
Concepcion,Confirmed Eruption,1983 Mar 16,2
Macdonald,Confirmed Eruption,1983 Mar 14,0
Hunter Island,Discredited Eruption,1983 Mar 9,--
Colima,Uncertain Eruption,1983 Feb 11,1
Rincon de la Vieja,Confirmed Eruption,1983 Feb 6,1
Kilauea,Confirmed Eruption,1983 Jan 3,3
"Lengai, Ol Doinyo",Confirmed Eruption,1983 Jan 1,2
Marapi,Confirmed Eruption,1982 Dec 16,1
Fukujin,Uncertain Eruption,1982 Dec 15,0
Ioto,Confirmed Eruption,1982 Nov 28,1
Chirpoi,Confirmed Eruption,1982 Nov 22,2
Iliboleng,Confirmed Eruption,1982 Nov 17,2
Kusatsu-Shiranesan,Confirmed Eruption,1982 Oct 26,1
Lopevi,Confirmed Eruption,1982 Oct 24,2
Cameroon,Confirmed Eruption,1982 Oct 16,2
Klyuchevskoy,Confirmed Eruption,1982 Oct 7,2
Akutan,Confirmed Eruption,1982 Oct 5,2
Asamayama,Confirmed Eruption,1982 Oct 2,1
Kilauea,Confirmed Eruption,1982 Sep 25,0
Wolf,Confirmed Eruption,1982 Aug 28,1
Soputan,Confirmed Eruption,1982 Aug 26,3
Myojinsho,Uncertain Eruption,1982 Aug 10,0
Raung,Confirmed Eruption,1982 Jul 18,3
Pavlof,Uncertain Eruption,1982 Jul 15,1
Cleft Segment,Confirmed Eruption,1982 Jul 2,0
Karangetang,Confirmed Eruption,1982 Jul 2,1
Whakaari/White Island,Discredited Eruption,1982 Jul 1,--
Nyiragongo,Confirmed Eruption,1982 Jun 21,1
Kita-Ioto,Uncertain Eruption,1982 Jun 16,0
Monowai,Confirmed Eruption,1982 May 16,0
Kilauea,Confirmed Eruption,1982 Apr 30,0
Asamayama,Confirmed Eruption,1982 Apr 26,2
Gaua,Confirmed Eruption,1982 Apr 18,2
Nishinoshima,Uncertain Eruption,1982 Apr 16,0
Kavachi,Confirmed Eruption,1982 Apr 7,2
Esmeralda Bank,Uncertain Eruption,1982 Apr 6,0
Galunggung,Confirmed Eruption,1982 Apr 5,4
Alaid,Confirmed Eruption,1982 Mar 29,2
"Chichon, El",Confirmed Eruption,1982 Mar 28,5
Klyuchevskoy,Confirmed Eruption,1982 Mar 24,1
Teahitia,Confirmed Eruption,1982 Mar 16,0
Marapi,Confirmed Eruption,1982 Mar 10,1
Ioto,Confirmed Eruption,1982 Mar 9,1
Macdonald,Confirmed Eruption,1982 Mar 1,0
Chachadake [Tiatia],Uncertain Eruption,1982 Feb 10,1
Gareloi,Confirmed Eruption,1982 Jan 15,3
Concepcion,Confirmed Eruption,1982 Jan 15,2
Fukujin,Uncertain Eruption,1982 Jan 12,0
Nyamuragira,Confirmed Eruption,1981 Dec 25,3
Klyuchevskoy,Uncertain Eruption,1981 Dec 21,--
Etna,Confirmed Eruption,1981 Nov 26,2
Alaid,Confirmed Eruption,1981 Nov 25,2
Telica,Confirmed Eruption,1981 Nov 25,2
Krafla,Confirmed Eruption,1981 Nov 18,0
Ruapehu,Confirmed Eruption,1981 Oct 25,1
Pavlof,Confirmed Eruption,1981 Sep 25,3
Shishaldin,Uncertain Eruption,1981 Sep 25,--
Kavachi,Uncertain Eruption,1981 Sep 15,0
Guagua Pichincha,Confirmed Eruption,1981 Aug 31,1
Fernandina,Confirmed Eruption,1981 Aug 1,0
Gaua,Confirmed Eruption,1981 Jul 9,1
Dieng Volcanic Complex,Confirmed Eruption,1981 Jul 2,1
Asosan,Confirmed Eruption,1981 Jun 15,1
Bezymianny,Confirmed Eruption,1981 Jun 12,3
Chachadake [Tiatia],Confirmed Eruption,1981 Jun 10,2
Okataina,Confirmed Eruption,1981 May 16,1
Pagan,Confirmed Eruption,1981 May 15,4
Alaid,Confirmed Eruption,1981 Apr 27,4
Krakatau,Confirmed Eruption,1981 Apr 24,1
Bulusan,Confirmed Eruption,1981 Apr 9,3
Hekla,Confirmed Eruption,1981 Apr 9,2
Pavlof,Confirmed Eruption,1981 Mar 30,1
Okmok,Confirmed Eruption,1981 Mar 24,3
Etna,Confirmed Eruption,1981 Mar 17,2
Poas,Confirmed Eruption,1981 Mar 16,1
Mehetia,Uncertain Eruption,1981 Mar 5,0
Gamkonora,Confirmed Eruption,1981 Mar 4,1
Shikotsu,Confirmed Eruption,1981 Feb 27,1
Ambrym,Confirmed Eruption,1981 Feb 20,2
Telica,Confirmed Eruption,1981 Feb 16,1
"Fournaise, Piton de la",Confirmed Eruption,1981 Feb 3,2
Krafla,Confirmed Eruption,1981 Jan 30,0
Etna,Confirmed Eruption,1981 Jan 26,2
Klyuchevskoy,Confirmed Eruption,1981 Jan 25,1
Fukujin,Uncertain Eruption,1981 Jan 7,0
Poas,Confirmed Eruption,1980 Dec 26,1
Myojinsho,Uncertain Eruption,1980 Nov 15,0
Macdonald,Confirmed Eruption,1980 Nov 10,0
Pavlof,Confirmed Eruption,1980 Nov 8,3
Paluweh,Confirmed Eruption,1980 Nov 5,2
Ruapehu,Confirmed Eruption,1980 Oct 18,1
Callaqui,Confirmed Eruption,1980 Oct 16,1
Kavachi,Confirmed Eruption,1980 Oct 7,1
Ulawun,Confirmed Eruption,1980 Oct 6,3
Kuchinoerabujima,Confirmed Eruption,1980 Sep 28,2
Asosan,Confirmed Eruption,1980 Sep 24,1
Marion Island,Confirmed Eruption,1980 Sep 16,1
Poas,Confirmed Eruption,1980 Sep 12,1
Gamalama,Confirmed Eruption,1980 Sep 4,2
Sheveluch,Confirmed Eruption,1980 Aug 23,1
Bezymianny,Confirmed Eruption,1980 Aug 21,2
Kuwae,Uncertain Eruption,1980 Aug 20,0
Hekla,Confirmed Eruption,1980 Aug 17,3
Kanlaon,Confirmed Eruption,1980 Aug 8,2
Gareloi,Confirmed Eruption,1980 Aug 7,3
Etna,Confirmed Eruption,1980 Jul 8,3
Nishinoshima,Uncertain Eruption,1980 Jul 7,0
Pavlof,Confirmed Eruption,1980 Jul 6,1
Akutan,Confirmed Eruption,1980 Jul 3,2
Gaua,Confirmed Eruption,1980 Jul 2,1
Villarrica,Confirmed Eruption,1980 Jun 20,2
Seal Nunataks Group,Uncertain Eruption,1980 Jun 15,--
Gorely,Confirmed Eruption,1980 Jun 15,3
Tengger Caldera,Confirmed Eruption,1980 Jun 5,2
Ekarma,Confirmed Eruption,1980 May 24,1
Ambrym,Confirmed Eruption,1980 May 16,3
Makushin,Confirmed Eruption,1980 May 1,1
Bezymianny,Confirmed Eruption,1980 Apr 18,3
Lopevi,Confirmed Eruption,1980 Apr 15,3
Marapi,Confirmed Eruption,1980 Mar 29,1
St. Helens,Confirmed Eruption,1980 Mar 27,5
Karangetang,Confirmed Eruption,1980 Mar 24,1
Krafla,Confirmed Eruption,1980 Mar 16,0
Krakatau,Confirmed Eruption,1980 Mar 15,2
Ioto,Confirmed Eruption,1980 Mar 13,1
Kilauea,Confirmed Eruption,1980 Mar 11,0
Macdonald,Confirmed Eruption,1980 Feb 12,0
Nyamuragira,Confirmed Eruption,1980 Jan 30,3
Monowai,Confirmed Eruption,1980 Jan 16,0
Ruapehu,Confirmed Eruption,1980 Jan 15,1
Tupungatito,Confirmed Eruption,1980 Jan 10,2
Karkar,Uncertain Eruption,1980 Jan 7,1
Bulusan,Confirmed Eruption,1979 Dec 27,3
Kilauea,Confirmed Eruption,1979 Nov 16,0
Ahyi,Uncertain Eruption,1979 Nov 15,0
"Negra, Sierra",Confirmed Eruption,1979 Nov 13,3
Ontakesan,Confirmed Eruption,1979 Oct 28,2
Llaima,Confirmed Eruption,1979 Oct 15,2
Macdonald,Confirmed Eruption,1979 Sep 30,0
Bezymianny,Confirmed Eruption,1979 Sep 18,2
Kuwae,Uncertain Eruption,1979 Sep 16,0
Poas,Confirmed Eruption,1979 Sep 8,1
Etna,Confirmed Eruption,1979 Jul 16,3
Krakatau,Confirmed Eruption,1979 Jul 15,2
Myojinsho,Uncertain Eruption,1979 Jul 13,0
Nikko,Uncertain Eruption,1979 Jul 12,0
Etna,Confirmed Eruption,1979 Jul 3,2
Epi,Confirmed Eruption,1979 Jul 2,0
Lopevi,Confirmed Eruption,1979 Jul 2,2
Peuet Sague,Confirmed Eruption,1979 Jul 2,2
Ruapehu,Confirmed Eruption,1979 Jun 30,1
Ambrym,Confirmed Eruption,1979 Jun 6,2
Asosan,Confirmed Eruption,1979 Jun 5,2
Karangetang,Confirmed Eruption,1979 May 31,1
"Fournaise, Piton de la",Confirmed Eruption,1979 May 28,1
Curacoa,Confirmed Eruption,1979 May 14,1
Lateiki,Confirmed Eruption,1979 May 10,2
Fukujin,Uncertain Eruption,1979 Apr 26,0
Chirinkotan,Confirmed Eruption,1979 Apr 16,2
Carran-Los Venados,Confirmed Eruption,1979 Apr 14,2
Soufriere St. Vincent,Confirmed Eruption,1979 Apr 13,3
Arenales,Confirmed Eruption,1979 Mar 8,1
Lautaro,Confirmed Eruption,1979 Mar 8,2
Dieng Volcanic Complex,Confirmed Eruption,1979 Feb 20,1
Kirishimayama,Confirmed Eruption,1979 Feb 16,1
Monowai,Confirmed Eruption,1979 Feb 16,1
Shishaldin,Confirmed Eruption,1979 Feb 16,2
Bezymianny,Confirmed Eruption,1979 Feb 11,3
Westdahl,Uncertain Eruption,1979 Feb 8,3
"Azul, Cerro",Confirmed Eruption,1979 Jan 29,2
Ambrym,Confirmed Eruption,1979 Jan 26,2
Karkar,Confirmed Eruption,1979 Jan 12,2
Shikotsu,Confirmed Eruption,1978 Dec 12,1
Ioto,Confirmed Eruption,1978 Dec 11,1
Lopevi,Confirmed Eruption,1978 Nov 22,2
Nishinoshima,Uncertain Eruption,1978 Nov 16,0
Iliamna,Discredited Eruption,1978 Nov 7,--
Ardoukoba,Confirmed Eruption,1978 Nov 7,1
Akutan,Confirmed Eruption,1978 Sep 25,2
Poas,Confirmed Eruption,1978 Sep 22,1
Bezymianny,Confirmed Eruption,1978 Sep 8,2
Fukujin,Uncertain Eruption,1978 Aug 24,0
Fernandina,Confirmed Eruption,1978 Aug 8,2
Bulusan,Confirmed Eruption,1978 Jul 29,2
Chachadake [Tiatia],Confirmed Eruption,1978 Jul 20,2
Krakatau,Confirmed Eruption,1978 Jul 10,1
Kanlaon,Confirmed Eruption,1978 Jun 27,2
Kavachi,Confirmed Eruption,1978 Jun 21,2
Lautaro,Confirmed Eruption,1978 Jun 16,1
Shikotsu,Confirmed Eruption,1978 May 14,1
Ulawun,Confirmed Eruption,1978 May 7,3
Etna,Confirmed Eruption,1978 Apr 29,2
Concepcion,Confirmed Eruption,1978 Mar 30,2
Mayon,Confirmed Eruption,1978 Mar 7,2
Okataina,Confirmed Eruption,1978 Feb 23,1
Karangetang,Confirmed Eruption,1978 Feb 22,1
Monowai,Confirmed Eruption,1978 Feb 16,0
Shishaldin,Confirmed Eruption,1978 Feb 8,2
Westdahl,Confirmed Eruption,1978 Feb 4,3
Minami-Hiyoshi,Uncertain Eruption,1978 Jan 26,0
Raung,Confirmed Eruption,1978 Jan 16,1
Didicas,Confirmed Eruption,1978 Jan 6,2
Poas,Confirmed Eruption,1977 Dec 18,2
Colima,Confirmed Eruption,1977 Dec 16,1
Macdonald,Confirmed Eruption,1977 Dec 10,0
Azumayama,Confirmed Eruption,1977 Dec 7,1
Mahawu,Confirmed Eruption,1977 Nov 16,0
Kick 'em Jenny,Confirmed Eruption,1977 Nov 11,0
"Fournaise, Piton de la",Confirmed Eruption,1977 Oct 24,1
Monowai,Confirmed Eruption,1977 Oct 17,0
Sumisujima,Uncertain Eruption,1977 Oct 16,0
San Cristobal,Confirmed Eruption,1977 Oct 16,2
Fukujin,Uncertain Eruption,1977 Oct 14,0
Taal,Confirmed Eruption,1977 Oct 3,2
Kilauea,Confirmed Eruption,1977 Sep 13,0
Fuego,Confirmed Eruption,1977 Sep 11,2
Ambrym,Confirmed Eruption,1977 Aug 16,2
Toya,Confirmed Eruption,1977 Aug 7,3
Klyuchevskoy,Confirmed Eruption,1977 Aug 2,3
Kavachi,Confirmed Eruption,1977 Jul 17,1
Ruapehu,Confirmed Eruption,1977 Jul 16,2
Tongariro,Confirmed Eruption,1977 Jul 4,1
Raung,Confirmed Eruption,1977 Jun 9,2
Poas,Confirmed Eruption,1977 May 16,1
Krafla,Confirmed Eruption,1977 Apr 27,1
Monowai,Confirmed Eruption,1977 Apr 16,0
Gaua,Confirmed Eruption,1977 Apr 13,2
Asosan,Confirmed Eruption,1977 Apr 11,2
Karthala,Confirmed Eruption,1977 Apr 5,1
Concepcion,Confirmed Eruption,1977 Apr 4,2
Ukinrek Maars,Confirmed Eruption,1977 Mar 30,3
Bezymianny,Confirmed Eruption,1977 Mar 25,3
"Fournaise, Piton de la",Confirmed Eruption,1977 Mar 24,0
Fernandina,Confirmed Eruption,1977 Mar 23,1
Purace,Confirmed Eruption,1977 Mar 19,2
Seguam,Confirmed Eruption,1977 Mar 6,1
Fuego,Confirmed Eruption,1977 Mar 3,1
Irazu,Confirmed Eruption,1977 Mar 3,1
Kavachi,Confirmed Eruption,1977 Feb 22,1
Kuwae,Uncertain Eruption,1977 Feb 1,0
Villarrica,Confirmed Eruption,1977 Jan 26,1
Ambrym,Confirmed Eruption,1977 Jan 20,2
Kick 'em Jenny,Confirmed Eruption,1977 Jan 14,0
Nyiragongo,Confirmed Eruption,1977 Jan 10,1
Nyamuragira,Confirmed Eruption,1976 Dec 23,1
Minami-Hiyoshi,Uncertain Eruption,1976 Dec 20,0
Whakaari/White Island,Confirmed Eruption,1976 Dec 18,3
San Miguel,Confirmed Eruption,1976 Dec 2,1
Matthew Island,Uncertain Eruption,1976 Nov 27,1
Telica,Confirmed Eruption,1976 Nov 3,1
"Fournaise, Piton de la",Confirmed Eruption,1976 Nov 2,1
Akutan,Confirmed Eruption,1976 Oct 15,2
Sarychev Peak,Confirmed Eruption,1976 Sep 23,2
Karangetang,Confirmed Eruption,1976 Sep 15,2
Ruapehu,Confirmed Eruption,1976 Sep 12,1
Taal,Confirmed Eruption,1976 Sep 3,2
San Cristobal,Confirmed Eruption,1976 Aug 29,1
Kavachi,Confirmed Eruption,1976 Aug 24,1
Tongariro,Confirmed Eruption,1976 Aug 23,1
Sumisujima,Uncertain Eruption,1976 Aug 16,0
Fukujin,Uncertain Eruption,1976 Aug 2,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1976 Aug 2,0
Soufriere Guadeloupe,Confirmed Eruption,1976 Jul 8,2
Korovin,Uncertain Eruption,1976 Jul 2,--
Poas,Confirmed Eruption,1976 Jun 21,2
Raung,Confirmed Eruption,1976 Jun 7,2
Lopevi,Confirmed Eruption,1976 May 1,1
Kuchinoerabujima,Confirmed Eruption,1976 Apr 2,2
Batur,Uncertain Eruption,1976 Mar 26,1
Bezymianny,Confirmed Eruption,1976 Mar 25,2
San Cristobal,Confirmed Eruption,1976 Mar 9,1
Iliwerung,Uncertain Eruption,1976 Mar 8,0
Ruapehu,Confirmed Eruption,1976 Mar 6,1
Kusatsu-Shiranesan,Confirmed Eruption,1976 Mar 2,1
Minami-Hiyoshi,Uncertain Eruption,1976 Feb 16,0
Augustine,Confirmed Eruption,1976 Jan 22,4
Shishaldin,Confirmed Eruption,1976 Jan 16,2
Ioto,Confirmed Eruption,1976 Jan 16,1
Gaua,Confirmed Eruption,1976 Jan 15,2
Reventador,Confirmed Eruption,1976 Jan 4,2
Long Island,Confirmed Eruption,1976 Jan 2,1
